Arrival Rate,Service Distribution,Service Distribution Params,Mean Latencies,Throughput,CV Util,Utilizations
1.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",1.6374237130283806,0.8,0.4662376819261246,"[0.5119599572910841, 0.23677189605955098, 0.18140103782266678]"
3.5,exponential,{'rate': 1.0},1.3198391287462252,1.96,0.0347358710238325,"[0.8123025049178775, 0.8454566797296822, 0.7764364609463185]"
1.5,exponential,{'rate': 1.0},1.6207766716227727,1.16,0.2752410700771058,"[0.6286564253990377, 0.4536803797230644, 0.3152765701344393]"
3.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",2.4235956886694163,1.68,0.0549894074206057,"[0.8973434336954837, 0.8212383084719638, 0.7875159199379678]"
