Arrival Rate,Service Distribution,Service Distribution Params,Mean Latencies,Throughput,CV Util,Utilizations
1.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",1.356578074406151,0.8,0.466586435201158,"[0.5119599572910841, 0.23677189605955098, 0.18116196420673675]"
3.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",2.4600347167102856,2.16,0.0685952764319635,"[0.901429101702399, 0.8002324356341048, 0.769090414373084]"
1.5,exponential,{'rate': 1.0},1.4527401265058535,1.16,0.2956728706099553,"[0.6286564253990377, 0.4771414351042768, 0.2918155147532271]"
3.5,exponential,{'rate': 1.0},2.4007649541256835,2.6,0.0239278941943805,"[0.8301252957942902, 0.7915511187877855, 0.7874810031270133]"
