run,finished_games,games_per_100k_steps,win_A_pct,win_B_pct,draw_pct,avg_match_length,std_match_length
0,23108,23107.306780796578,18.482776527609484,44.4954128440367,37.02181062835382,4.327635450926087,1.9038477733290495
1,25839,25838.741612583875,17.860598320368435,49.89744185146484,32.24195982816673,3.8701575138356747,1.6124584918421543
2,25783,25783.0,18.516076484505295,49.164177946709074,32.319745568785635,3.878524609238646,1.6139943790851754
3,14855,14854.5543633691,0.0,36.4792998990239,63.5207001009761,6.731942107034668,7.425717566000987
4,14846,14845.703085938281,0.0,35.8413040549643,64.1586959450357,6.735955813013606,7.5169100790290395
