Arrival Rate,Service Distribution,Service Distribution Params,Mean Latencies,Throughput,CV Util,Utilizations
1.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",1.421109590300795,0.8,0.466586435201158,"[0.5119599572910841, 0.23677189605955098, 0.18116196420673675]"
1.5,exponential,{'rate': 1.0},1.6622692623815063,1.16,0.324864202676383,"[0.6286564253990377, 0.5048263276744662, 0.26413062218303773]"
3.5,exponential,{'rate': 1.0},2.391182081294879,1.96,0.0275087334826325,"[0.841118744446898, 0.8411054784514436, 0.7929656792481441]"
3.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",2.4275979634055016,2.08,0.0479542870937944,"[0.8814193750909007, 0.8029794637534005, 0.7927914991332551]"
