Arrival Rate,Service Distribution,Service Distribution Params,Mean Latencies,Throughput,CV Util,Utilizations
1.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",1.356578074406151,0.8,0.466586435201158,"[0.5119599572910841, 0.23677189605955098, 0.18116196420673675]"
3.5,exponential,{'rate': 1.0},3.651679041591725,2.36,0.0461562836254066,"[0.8156196806367411, 0.7882872974979237, 0.7295667992621511]"
3.5,lognormal,"{'mu': 0.0, 'sigma': 0.5}",3.291115792166513,2.08,0.0887525045799781,"[0.9150474499675981, 0.746360636098184, 0.783737592632783]"
1.5,exponential,{'rate': 1.0},1.5073936190860115,1.16,0.2956728706099553,"[0.6286564253990377, 0.4771414351042768, 0.2918155147532271]"
